Volume (m^3)	Temperature (C)
8.017361	5.047455
7.949509	4.978039
7.904750	5.032439
7.957584	5.017312
7.889307	5.113753
7.824036	5.135976
7.801504	5.089122
7.756063	5.133091
7.786980	5.167572
7.785695	5.162631
7.679560	5.149204
7.703937	5.228142
7.688607	5.254071
7.674064	5.261684
7.608626	5.280410
7.570099	5.260612
7.581207	5.311737
7.525898	5.343162
7.512401	5.365958
7.462749	5.372060
7.432543	5.356470
7.454328	5.404499
7.357753	5.368747
7.397881	5.363513
7.329769	5.470446
7.351267	5.433619
7.290219	5.416798
7.325379	5.453757
7.255841	5.471258
7.266662	5.500986
7.200041	5.538611
7.188834	5.499568
7.155724	5.522860
7.162633	5.512003
7.122283	5.564864
7.076265	5.605669
7.057532	5.629278
7.092174	5.565597
7.027578	5.586597
7.063893	5.606801
6.977225	5.638499
7.007843	5.621987
6.944616	5.648887
6.965426	5.661125
6.914684	5.707750
6.908194	5.726189
6.913631	5.731074
6.859790	5.686831
6.836216	5.682193
6.861061	5.784341
6.847076	5.698331
6.804130	5.758227
6.754020	5.731283
6.753228	5.779942
6.757430	5.825007
6.760763	5.789923
6.672174	5.770284
6.722382	5.799698
6.716063	5.797384
6.695097	5.877549
6.687157	5.876974
6.619976	5.858094
6.651181	5.833826
6.594533	5.866268
6.533996	5.895195
6.610896	5.833208
6.554820	5.904809
6.512504	5.884150
6.508727	5.860041
6.485678	5.860846
6.517114	5.948077
6.424452	5.909931
6.482686	5.959370
6.455269	5.916825
6.446871	5.937050
6.449680	5.896013
6.360369	5.970358
6.407473	5.910589
6.358445	5.914145
6.385763	5.963982
6.310040	6.008896
6.355588	5.958885
6.272713	5.970685
6.297523	6.003550
6.329859	5.987258
6.313303	5.979637
6.251748	5.983581
6.270968	5.973687
6.232308	6.005834
6.225078	5.958744
6.228725	6.004976
6.255360	6.043838
6.151913	5.988474
6.168190	5.990051
6.141388	6.017329
6.149441	6.030727
6.133695	6.026606
6.164824	6.058918
6.129366	6.000877
6.134597	6.011079
6.105032	6.004482
6.099951	5.996045
6.052714	6.013515
6.088176	6.069969
6.042680	5.994849
6.067660	6.037156
6.085775	5.992467
6.048497	6.003223
6.027583	6.057915
5.974680	6.001605
6.031816	6.015368
5.986579	6.010130
5.953703	6.066843
5.938406	5.980823
6.000091	6.040681
5.976225	6.000404
5.969459	6.047852
5.892879	5.983407
5.904088	6.071994
5.895488	6.014396
5.875059	6.055959
5.943167	6.000264
5.857372	5.971853
5.853020	6.026519
5.851917	5.973116
5.845171	6.026143
5.853969	6.025639
5.846303	6.040312
5.793692	6.014551
5.823285	6.005353
5.804053	5.988924
5.811832	5.981493
5.826545	6.036075
5.799458	5.969666
5.750683	5.959445
5.746322	5.999499
5.721961	6.009114
5.760395	5.973786
5.715398	6.003224
5.751553	5.965904
5.725662	6.011184
5.722775	5.991095
5.704649	5.957180
5.703868	5.926367
5.688927	5.974742
5.740053	6.000781
5.709998	6.002659
5.713891	5.946676
5.713774	5.991893
5.706114	5.951802
5.657366	5.985301
5.616152	5.887712
5.607552	5.926725
5.685799	5.939760
5.682752	5.953934
5.617446	5.967856
5.655518	5.950746
5.638046	5.961295
5.649247	5.921649
5.645956	5.867895
5.582448	5.850287
5.560147	5.937451
5.603667	5.848266
5.552449	5.889034
5.536313	5.904464
5.562751	5.876854
5.613048	5.864974
5.534129	5.883374
5.551146	5.834925
5.552965	5.849107
5.517148	5.883247
5.554425	5.850249
5.488147	5.884655
5.562717	5.874566
5.509423	5.869695
5.488123	5.826095
5.492503	5.764991
5.527878	5.789310
5.499774	5.839661
5.539705	5.763341
5.473375	5.827265
5.495877	5.801063
5.464978	5.740029
5.524864	5.820567
5.501206	5.737669
5.478445	5.765518
5.459749	5.707121
5.492516	5.757024
5.469092	5.736637
5.438529	5.706109
5.403712	5.773825
5.468269	5.755354
5.488881	5.735116
5.443032	5.692227
5.400728	5.661551
5.452647	5.656581
5.471143	5.710440
5.400008	5.691420
5.437448	5.679035
5.434401	5.680577
5.428716	5.698620
5.418608	5.690863
5.446191	5.616089
5.387197	5.648513
5.409691	5.598904
5.422342	5.672125
5.337993	5.666801
5.346401	5.661519
5.324567	5.629567
5.406797	5.629402
5.372645	5.592519
5.321891	5.624194
5.351737	5.567520
5.310851	5.545710
5.322347	5.612431
5.313139	5.618799
5.341287	5.578668
5.371911	5.511639
5.299554	5.582863
5.323369	5.585378
5.365989	5.495368
5.321737	5.572802
5.374231	5.562348
5.308204	5.491212
5.345763	5.500313
5.332357	5.464145
5.276368	5.542743
5.268896	5.457993
5.353560	5.484822
5.267938	5.469602
5.285699	5.484162
5.264114	5.468821
5.321479	5.420474
5.316567	5.450517
5.258390	5.444478
5.324091	5.430648
5.276599	5.441734
5.273650	5.383596
5.295378	5.389863
5.235397	5.398057
5.276883	5.378354
5.315805	5.362887
5.276445	5.414195
5.278864	5.364366
5.277705	5.386273
5.251658	5.333274
5.256674	5.411326
5.226126	5.346847
5.255745	5.367513
5.257139	5.394262
5.276934	5.344785
5.274785	5.288321
5.212268	5.312183
5.258579	5.280917
5.274023	5.345099
5.210170	5.300374
5.265551	5.266931
5.259520	5.318602
5.213318	5.307755
5.247681	5.263365
5.229128	5.278752
5.201725	5.297526
5.200504	5.264221
5.205387	5.300021
5.173647	5.241243
5.188514	5.275270
5.162346	5.200835
5.223392	5.188617
5.245784	5.240221
5.190661	5.261533
5.176855	5.227995
5.236631	5.259571
5.221704	5.192314
5.171776	5.184450
5.179519	5.220952
5.218708	5.156330
5.224373	5.235407
5.204282	5.157456
5.163260	5.139751
5.155225	5.193870
5.185514	5.130347
5.193929	5.188086
5.132318	5.179189
5.220272	5.106113
5.201751	5.190359
5.162400	5.154085
5.185090	5.110122
5.176060	5.103200
5.153100	5.121676
5.137740	5.123095
5.214206	5.079936
5.183413	5.114905
5.163855	5.093909
5.151120	5.058306
5.129088	5.056575
5.187085	5.057370
5.145370	5.060174
5.113742	5.103970
5.189257	5.053462
5.162000	5.073415
5.161299	5.073990
5.127128	5.040587
5.164358	5.101897
5.136986	5.068989
5.166158	5.053573
5.154938	5.023874
5.181715	5.003288
5.115416	5.001485
5.088271	4.981116
5.158871	5.048980
5.165702	4.983730
5.121047	4.982218
5.114024	4.964467
5.170075	5.032211
5.126207	4.970734
5.170358	4.967978
5.144106	5.014053
5.088080	5.008349
5.119925	4.955971
5.106840	4.969048
5.152398	4.983907
5.123299	4.970804
5.079241	5.013157
5.113744	5.002834
5.163296	4.982280
5.110671	4.915297
5.080654	4.934079
5.121968	4.916954
5.157973	4.905768
5.146114	4.919797
5.068910	4.987455
5.144929	4.928708
5.152369	4.901685
5.156153	4.952129
5.137011	4.972300
5.079698	4.921834
5.080488	4.963957
5.063371	4.957357
5.080763	4.913213
5.066917	4.893895
5.123249	4.919127
5.093057	4.880032
5.121955	4.883515
5.146745	4.926528
5.128334	4.867507
5.102595	4.859871
5.093226	4.925351
5.066396	4.836321
5.057474	4.913783
5.113000	4.876298
5.100332	4.866794
5.090792	4.866095
5.122642	4.852499
5.065972	4.867298
5.086830	4.847411
5.046555	4.844779
5.067805	4.895134
5.099838	4.859521
5.121005	4.869172
5.108708	4.872532
5.112862	4.822680
5.078695	4.842047
5.058540	4.858025
5.074606	4.835058
5.057205	4.855367
5.063427	4.793919
5.088226	4.841985
5.067602	4.842390
5.117529	4.880182
5.056748	4.878486
5.098998	4.824462
5.043700	4.810221
5.052798	4.779750
5.048576	4.812499
5.090310	4.825865
5.036974	4.782579
5.072745	4.790123
5.039027	4.835137
5.033927	4.862298
5.093225	4.851477
5.108332	4.800391
5.038167	4.767712
5.032402	4.786613
5.094798	4.826530
5.075374	4.815383
5.090943	4.787784
5.068350	4.794880
5.041695	4.816900
5.070773	4.839332
5.027468	4.826711
5.047632	4.767104
5.100084	4.775181
5.050336	4.773473
5.091710	4.776541
5.105459	4.838863
5.063641	4.822458
5.075347	4.799088
5.060974	4.793642
5.080743	4.749280
5.069613	4.788104
5.019317	4.771036
5.087984	4.780892
5.016655	4.760401
5.071764	4.816102
5.096610	4.773680
5.047591	4.807247
5.012676	4.807331
5.007185	4.793118
5.078134	4.797111
5.000284	4.817119
5.060191	4.832895
5.034711	4.835060
5.037992	4.739761
5.037709	4.741767
5.039506	4.833190
5.079801	4.774797
5.069234	4.795625
5.086687	4.794572
5.073967	4.778033
5.027939	4.789603
5.014964	4.773553
5.059853	4.820283
5.004801	4.794098
5.082069	4.748152
5.051771	4.808020
5.070740	4.744972
5.051850	4.763036
5.009216	4.746286
4.999397	4.776117
5.073814	4.801530
5.005878	4.830988
4.996276	4.761761
5.048716	4.768006
5.035888	4.798473
5.035177	4.807618
5.079486	4.766419
5.004112	4.756644
5.067186	4.791087
5.054685	4.766406
5.078939	4.783799
5.042845	4.743224
5.006444	4.833441
5.011454	4.751906
5.047805	4.792936
5.022832	4.819263
5.020775	4.774033
4.987398	4.803871
5.060926	4.750064
5.007587	4.746966
5.050102	4.751062
5.058026	4.829252
5.055691	4.825819
5.063948	4.777208
5.056204	4.818356
5.046327	4.831562
4.991458	4.753586
5.081183	4.814468
5.022742	4.831137
4.988222	4.760015
5.054444	4.759706
5.079988	4.810862
5.034615	4.816329
5.038736	4.759806
4.994570	4.849191
5.042504	4.765702
5.033159	4.755644
5.006709	4.819161
5.043758	4.842157
5.077130	4.802482
5.028420	4.846204
4.997682	4.841634
5.040131	4.778401
5.044928	4.773004
5.021867	4.807933
4.984536	4.856841
5.074881	4.829439
4.979510	4.768635
5.049452	4.866090
5.033761	4.824808
5.070479	4.850238
5.014558	4.801353
5.025690	4.782116
5.053418	4.777795
5.013385	4.860921
4.989672	4.781795
5.030317	4.825767
5.032855	4.793497
5.054994	4.786633
5.072018	4.786954
5.006715	4.805294
4.972293	4.840113
4.978314	4.810032
5.018386	4.806701
5.070296	4.805158
4.975312	4.817473
5.007803	4.881090
4.987938	4.824948
5.057392	4.793079
5.034338	4.819949
5.059022	4.876895
5.046599	4.840551
5.018440	4.845735
4.976562	4.817163
5.021305	4.889379
5.009940	4.814837
5.027302	4.828182
5.065577	4.801267
5.065007	4.845789
5.068405	4.841917
5.019733	4.903982
5.040398	4.832387
4.982599	4.827969
4.986521	4.818213
4.991429	4.823959
5.059445	4.904343
4.975475	4.893672
5.036728	4.901165
4.985834	4.901616
5.048504	4.839197
4.999068	4.886854
5.046504	4.849450
5.047894	4.897731
4.997842	4.905138
4.986305	4.902808
4.981965	4.885934
5.056796	4.840612
5.036232	4.919797
4.977417	4.871326
5.029235	4.843247
4.979940	4.839092
4.973046	4.890126
5.039226	4.848308
4.983891	4.847943
4.964526	4.875257
4.966474	4.938148
5.004388	4.875081
5.023138	4.932128
4.968601	4.889709
4.964066	4.870563
5.021250	4.870929
4.998531	4.862833
4.979573	4.904252
5.025534	4.868998
5.018182	4.860836
5.047890	4.882385
5.002958	4.876858
4.968093	4.915682
5.062379	4.904279
4.966765	4.950716
4.974913	4.902369
5.008005	4.921665
5.042304	4.869512
5.002326	4.865762
5.037310	4.877963
4.995695	4.880743
4.995992	4.914904
5.022696	4.909720
5.055429	4.947907
4.978971	4.930237
4.972899	4.894568
5.006904	4.962800
5.058560	4.967019
5.040163	4.941083
4.976410	4.916797
5.039601	4.973533
5.032212	4.941746
4.990948	4.966548
4.974643	4.900946
5.059472	4.975713
5.037389	4.901995
5.011304	4.900150
4.997700	4.915947
4.986414	4.924214
5.019368	4.899692
4.970378	4.911319
5.027838	4.925992
4.980023	4.971768
5.048144	4.986617
5.021072	4.932282
4.962686	4.937187
5.043973	4.915463
4.972931	4.985504
4.981924	4.923338
4.996323	4.903292
4.978985	5.000603
5.025326	5.003262
4.971031	4.986123
5.042155	4.926508
5.028615	4.924113
4.987660	4.936240
5.033470	4.973170
5.041653	5.007148
4.985173	4.959231
5.010406	4.943211
4.958848	4.917329
5.031998	4.927620
5.054439	5.005227
5.055227	4.934140
5.023892	4.990750
4.999441	4.986422
4.958239	4.943645
4.993612	4.962280
5.026210	5.004382
4.997637	5.003368
4.980787	5.005311
5.052705	4.979179
4.981616	4.954942
4.960699	4.990272
4.983153	4.987778
5.037462	4.967794
5.036349	4.949472
4.969304	4.986710
4.969387	4.950861
4.963012	5.026876
5.039422	5.007407
5.015022	5.031723
4.990230	4.991925
5.032005	4.967736
5.023985	4.964273
4.983150	4.973316
5.017417	4.979659
5.003611	5.043474
4.976009	4.960235
5.014721	5.029087
5.041799	4.974124
5.029714	5.038911
5.040537	4.995696
5.007099	5.048012
4.989695	4.958995
4.973649	5.011496
4.963657	4.955808
5.001727	4.982201
4.964501	5.002180
5.014264	4.971337
5.039293	5.016179
4.959262	5.006556
4.993640	5.035453
5.008094	4.971769
5.019887	4.992881
4.965928	4.973759
5.030727	5.008830
4.994310	5.007726
4.958386	5.045540
4.961064	5.015480
4.955758	5.044680
5.012302	5.039117
5.030795	4.968275
4.963324	4.975509
